cod_alumno,cod_semestre,cod_facultad,cod_escuela,num_res_autoriza,cod_tipo_autorizacion
18010324,20201,1,1,RD 0754-D-FM-2020                       ,AM 
13010637,20201,1,1,RD. 0365-D-FM-2020                      ,AM 
16010286,20201,1,1,RD. 0367-D-FM-2020                      ,AM 
16010286,20201,1,1,RD. 0367-D-FM-2020                      ,AM 
13010430,20201,1,1,RD. 0368-D-FM-2020                      ,AM 
13010430,20201,1,1,RD. 0368-D-FM-2020                      ,AM 
18010013,20201,1,1,RD 0727-D-FM-2020                       ,AM 
18010013,20201,1,1,RD 0727-D-FM-2020                       ,AM 
18010027,20201,1,1,RD 0725-D-FM-2020                       ,AM 
16010296,20201,1,1,RD 0724-D-FM-2020                       ,AM 
17010235,20201,1,1,RD 0728-D-FM-2020                       ,AM 
18010316,20201,1,1,RD 0728-D-FM-2020                       ,AM 
18010335,20201,1,1,RD 0728-D-FM-2020                       ,AM 
18010369,20201,1,1,RD 0728-D-FM-2020                       ,AM 
18010027,20202,1,1,RD 001287-DFM-2020                      ,AM 
18010013,20202,1,1,RD 001285-D-FM-2020                     ,AM 
13010430,20202,1,1,RD 001284-D-FM-2020                     ,AM 
16010286,20202,1,1,RD 001286-DM-FM-2020                    ,TO 
18010324,20202,1,1,RD 001283-D-FM-2020                     ,TO 
14010043,20201,1,2,RD 0681-D-FM-2020                       ,TO 
15010352,20201,1,2,RD. 0559-D-FM-2020                      ,TO 
15010148,20201,1,3,RD 753-D-FM-2020                        ,TO 
14010380,20201,1,3,RD 0700-D-FM-2020                       ,TO 
14010376,20201,1,3,RD 0700-D-FM-2020                       ,TO 
15010403,20202,1,3,RD 001314-D-FM-2020                     ,TO 
17010113,20202,1,3,RD 001314-D-FM-2020                     ,TO 
17010419,20202,1,3,RD 001314-D-FM-2020                     ,TO 
15010148,20202,1,3,RD 0753-D-FM-202                        ,TO 
14010123,20201,1,4,RD 0749-D-FM-2020                       ,TO 
14010123,20201,1,4,RD 0920-D-FM-202|                       ,TO 
18010504,20201,1,4,RD 0711-D-FM-2020                       ,TO 
10010142,20201,1,4,RD 0342-D-FM-2020                       ,TO 
14010445,20201,1,4,RD. 0343-D-FM-2020                      ,TO 
12010481,20201,1,4,RD. 0125-D-FM-2020                      ,TO 
14010466,20201,1,4,RD. 0124-D-FM-2020                      ,TO 
13010561,20201,1,4,RD. 0144-D-FM-2020                      ,TO 
14010114,20201,1,4,RD 0086-D-FM-2020                       ,TO 
18010186,20201,1,4,RD 0707-D-FM-2020                       ,TO 
18010518,20201,1,4,RD 0707-D-FM-2020                       ,TO 
18010543,20201,1,4,RD 0704-D-FM-2020                       ,TO 
9010324,20201,1,4,RD 0705-D-FM-2020                       ,TO 
12010542,20201,1,4,RD 0311-D-FM-2020                       ,TO 
18010152,20201,1,4,RD. 0310-D-FM-2020                      ,TO 
14010443,20201,1,4,RD. 0345-D-FM-2020                      ,TO 
18010192,20201,1,4,RD 0616-D+FM-2020                       ,TO 
17010472,20201,1,4,RD. 0613-D-FM-2020                      ,TO 
14010108,20201,1,4,RD. 0617-D-FM-2020                      ,TO 
4010112,20201,1,4,RD. 0618-D-FM-2020                      ,TO 
14010122,20201,1,4,RD. 0615-D-FM-2020                      ,TO 
14010122,20201,1,4,RD. 0615-D-FM-2020                      ,TO 
16010444,20201,1,4,RD. 0614-D-FM-2020                      ,AM 
16010451,20201,1,4,RD. 0620-D-FM-2020                      ,TO 
14010114,20201,1,4,RD 0216-D-FM-2020                       ,TO 
14010445,20201,1,4,RD. 0617-D-FM-2020                      ,TO 
17010484,20201,1,4,RD. 0613-D-FM-2020                      ,TO 
894733,20201,1,4,RD. 0576-D-FM-2020                      ,TO 
13010596,20201,1,4,RD. 0657-D-FM-2020                      ,TO 
16010462,20201,1,4,RD 0652-D-FM-2020                       ,TO 
12010481,20201,1,4,RD. 0651-D-FM-2020                      ,TO 
16010431,20201,1,4,RD. 0660-D-FM-2020                      ,TO 
16010431,20201,1,4,RD. 0660-D-FM-2020                      ,TO 
15010468,20201,1,4,RD. 0189-D-FM-2020                      ,TO 
15010468,20201,1,4,RD. 0144-D-FM-2020                      ,TO 
16010173,20201,1,4,RD 0654-D-FM-2020                       ,TO 
18010510,20201,1,4,RD 0678-D-FM-2020                       ,TO 
18010156,20201,1,4,RD 0679.D-FM-2020                       ,TO 
18010567,20201,1,4,RD 0679-D-FM-2020                       ,TO 
18010151,20201,1,4,RD 0679--FM-2020                        ,TO 
4010112,20202,1,4,RD 1312-D-FM-2020                       ,TO 
15010183,20202,1,4,RD 001313-D-FM-2020                     ,TO 
14010444,20202,1,4,RD 0716-D-FM-2020                       ,TO 
16010186,20202,1,4,RD 0714-D-FM-2020                       ,AM 
18010504,20202,1,4,RD 0711-D-FM-2020                       ,AM 
4010112,20202,1,4,RD 001125-D-FM-2020                     ,AM 
15010468,20202,1,4,RD 001121-D-FM-2020                     ,AM 
894733,20202,1,4,RD. 0447-D-FM-2020                      ,AM 
15010436,20202,1,4,0293-D-FM-2020                          ,AM 
13010580,20202,1,4,RD 0318 -D-FM-2020                      ,AM 
12010542,20202,1,4,RD 0311-D-FM-                           ,AM 
12010542,20202,1,4,RD 0311-D-FM-2020                       ,AM 
14010122,20202,1,4,RD 0615-D-FM-2020                       ,AM 
13010146,20202,1,4,RD 0535-D-FM-2020                       ,AM 
13010146,20202,1,4,RD 0535-D-FM-2020                       ,AM 
15010436,20202,1,4,RD 0699-D-FM-2020                       ,AM 
10010361,20202,1,4,RD. 0307-D-FM-2020                      ,AM 
10010361,20202,1,4,RD. 0307-D-FM-2020                      ,AM 
15010443,20202,1,4,RD. 0344-D-FM-2020                      ,AM 
13010130,20202,1,4,RD.0544-D-FM-2020                       ,AM 
14010424,20202,1,4,RD. 0543-D-FM-2020                      ,AM 
17010170,20202,1,4,RD. 0584-D-FM-2020                      ,AM 
16010493,20202,1,4,RD 001383-D-FM-2020                     ,TO 
13010581,20202,1,4,RD 001382-D-FM-2020                     ,AM 
15010513,20202,1,4,RD 001380-D-FM-2020                     ,AM 
17010449,20202,1,4,RD. 0622-D-FM-2020                      ,AM 
17010449,20202,1,4,RD. 0622-D-FM-2020|                     ,AM 
15010437,20202,1,4,RD. 0285-D-FM-2020                      ,AM 
16010451,20202,1,4,RD. 0620-D-FM-2020                      ,AM 
894733,20202,1,4,RD. 0619-D-FM-2020                      ,AM 
18010527,20202,1,4,RD. 0656-D-FM-2020                      ,AM 
14010480,20202,1,4,RD 0653-D-FM-2020                       ,AM 
15010496,20202,1,4,RD. 0661-D-FM-2020                      ,AM 
15010496,20202,1,4,RD. 0661-D-FM-2020                      ,AM 
15010496,20202,1,4,RD. 0661-D-FM-2020                      ,AM 
18010533,20202,1,4,RD 0655-D-FM-2020                       ,AM 
16010462,20202,1,4,RD 0652-D-FM-2020                       ,AM 
18010510,20202,1,4,RD 0678-D-FM-2020                       ,AM 
13010561,20202,1,4,RD 0144-D-FM-202                        ,AM 
11010478,20202,1,4,RD 001485-2020-D-FM                     ,AM 
14010107,20202,1,4,RD 000433-D-FM-2021                     ,AM 
15010196,20201,1,5,RD. 0432-D-FM-2020                      ,AM 
11010427,20201,1,5,RD 0545-D-FM-2020                       ,AM 
9010088,20202,1,5,RD 001486-D-FM-2020                     ,AM 
13010352,20202,1,5,RD 001542-D-FM-2020                     ,AM 
13020080,20201,2,2,RD N° 472-D-FD-2020                     ,AM 
1113780,20201,2,2,RD N° 470-D-FD-2020                     ,AM 
1113780,20201,2,2,RD N° 470-D-FD-2020                     ,AM 
15020225,20201,2,2,RD N° 467-D-FD-2020                     ,AM 
10020194,20201,2,2,RD N° 474-D-FD-2020                     ,AM 
10020194,20201,2,2,RD N° 474-D-FD-2020                     ,AM 
15020363,20201,2,2,RD N° 475-D-FD-2020                     ,AM 
15020363,20201,2,2,RD N° 475-D-FD-2020                     ,AM 
16020189,20201,2,2,RD N° 406-D-FD-2020                     ,AM 
11020135,20201,2,2,RD N° 422-D-FD-2020                     ,AM 
11020135,20201,2,2,RD N° 422-D-FD-2020                     ,AM 
1112375,20201,2,2,RD N° 423-D-FD-2020                     ,AM 
2020310,20201,2,2,RD N° 424-D-FD-2020                     ,AM 
2020310,20201,2,2,RD N° 424-D-FD-2020                     ,AM 
14020191,20201,2,2,RD N° 425-D-FD-2020                     ,AM 
8020046,20201,2,2,RD N° 427-D-FD-2020                     ,AM 
8020046,20201,2,2,RD N° 427-D-FD-2020                     ,AM 
16020045,20201,2,2,RD N° 428-D-FD-2020                     ,AM 
16020045,20201,2,2,RD N° 428-D-FD-2020                     ,AM 
13020012,20201,2,2,RD N° 429-D-FD-2020                     ,AM 
14020361,20201,2,2,RD N° 430-D-FD-2020                     ,AM 
14020361,20201,2,2,RD N° 430-D-FD-2020                     ,AM 
18020261,20201,2,2,RD N° 443-D-FD-2020                     ,AM 
17020048,20201,2,2,RD N° 444-D-FD-2020                     ,AM 
16020049,20201,2,2,RD N° 445-D-FD-2020                     ,AM 
8.00E+183,20201,2,2,RD N° 446-D-FD-2020                     ,AM 
17020293,20201,2,2,RD N° 448-D-FD-2020                     ,AM 
11020187,20201,2,2,RD N° 449-D-FD-2020                     ,AM 
11020187,20201,2,2,RD N° 449-D-FD-2020                     ,AM 
2020136,20201,2,2,RD N° 495-D-FD-2020                     ,AM 
2020136,20201,2,2,RD N° 495-D-FD-2020                     ,AM 
17020027,20201,2,2,RD N° 496-D-FD-2020                     ,AM 
17020027,20201,2,2,RD N° 496-D-FD-2020                     ,AM 
15020314,20201,2,2,RD N° 450-D-FD-2020                     ,AM 
15020314,20201,2,2,RD N° 450-D-FD-2020                     ,AM 
10020086,20201,2,2,RD N° 451-D-FD-2020                     ,AM 
10020086,20201,2,2,RD N° 451-D-FD-2020                     ,AM 
10020121,20201,2,2,RD N° 432-D-FD-2020                     ,AM 
114089,20201,2,2,RD N° 433-D-FD-2020                     ,AM 
12020246,20201,2,2,RD N° 434-D-FD-2020                     ,AM 
12020246,20201,2,2,RD N° 434-D-FD-2020                     ,AM 
10020134,20201,2,2,RD N° 438-D-FD-2020                     ,AM 
10020134,20201,2,2,RD N° 438-D-FD-2020                     ,AM 
15020327,20201,2,2,RD N° 452-D-FD-20                       ,AM 
15020273,20201,2,2,RD N° 453-D-FD-2020                     ,AM 
15020273,20201,2,2,RD N° 453-D-FD-2020                     ,AM 
17020310,20201,2,2,RD N° 456                               ,AM 
16020355,20201,2,2,RD N° 457-D-FD-2020                     ,AM 
11020055,20201,2,2,RD N° 458-D-FD-2020                     ,AM 
15020119,20201,2,2,RD N° 460-D-FD-2020                     ,AM 
13020287,20201,2,2,RD N° 312-D-FD-2020                     ,AM 
15020176,20201,2,2,RD N° 538-D-FD-2020                     ,AM 
13020005,20201,2,2,RD N° 539-D-FD-2020                     ,AM 
13020005,20201,2,2,RD N° 539-D-FD-2020                     ,AM 
11020021,20201,2,2,RD N° 542-D-FD-2020                     ,AM 
16020032,20201,2,2,RD N° 543-D-FD-2020                     ,AM 
17020235,20201,2,2,RD N° 546-D-FD-2020                     ,AM 
14020172,20201,2,2,RD N° 545-D-FD-2020                     ,AM 
1113299,20201,2,2,RD N° 546-D-FD-2020                     ,AM 
14020088,20201,2,2,RD N° 409-D-FD-2020                     ,AM 
14020316,20201,2,2,RD N° 410-D-FD-2020                     ,AM 
14020207,20201,2,2,RD N° 413-D-FD-2020                     ,AM 
15020190,20201,2,2,RD N° 414-D-FD-2020                     ,AM 
11020387,20201,2,2,RD N° 415-D-FD-2020                     ,AM 
17020353,20201,2,2,RD N° 416-D-FD-2020                     ,AM 
17020353,20201,2,2,RD N° 416-D-FD-2020                     ,AM 
960770,20201,2,2,RD N° 418-D-FD-2020                     ,AM 
17020335,20201,2,2,RD N° 419-D-FD-2020                     ,AM 
17020335,20201,2,2,RD N° 419-D-FD-2020                     ,AM 
15020113,20201,2,2,RD N° 420-D-FD-2020                     ,AM 
15020320,20201,2,2,RD N° 441-D-FD-2020                     ,AM 
15020320,20201,2,2,RD N° 441-D-FD-2020                     ,AM 
15020049,20201,2,2,RD N° 454-D-FD-2020                     ,AM 
15020049,20201,2,2,RD N° 454-D-FD-2020                     ,AM 
880755,20201,2,2,RD N° 462-D-FD-2020                     ,AM 
880755,20201,2,2,RD N° 462-D-FD-2020                     ,AM 
16020231,20201,2,2,RD N° 468-D-FD-2020                     ,AM 
16020231,20201,2,2,RD N° 468-D-FD-2020                     ,AM 
13020309,20201,2,2,RD N° 469-D-FD-2020                     ,AM 
13020309,20201,2,2,RD N° 469-D-FD-2020                     ,AM 
891107,20201,2,2,RD N° 471-D-FD-2020                     ,AM 
891107,20201,2,2,RD N° 471-D-FD-2020                     ,AM 
12020129,20201,2,2,RD N° 497-D-FD-2020                     ,AM 
12020129,20201,2,2,RD N° 497-D-FD-2020                     ,AM 
11020248,20201,2,2,RD N° 537-D-FD-2020                     ,AM 
